,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX,predicted,actual,error
0,6.8594,1007.9,96.799,3.5,19.663,1059.2,550.0,114.7,10.605,3.1547,82.722,115.33169,114.7,0.6316879272460909
1,6.785,1008.4,97.118,3.4998,19.728,1059.3,550.0,114.72,10.598,3.2363,82.776,115.43616,114.72,0.7161572265625011
2,6.8977,1008.8,95.939,3.4824,19.779,1059.4,549.87,114.71,10.601,3.2012,82.468,115.59275,114.71,0.8827505493164125
3,7.0569,1009.2,95.249,3.4805,19.792,1059.6,549.99,114.72,10.606,3.1923,82.67,115.57662,114.72,0.8566220092773449
4,7.3978,1009.7,95.15,3.4976,19.765,1059.7,549.98,114.72,10.612,3.2484,82.311,115.55591,114.72,0.8359082031250011
5,7.6998,1010.7,92.708,3.5236,19.683,1059.8,549.97,114.72,10.626,3.4467,82.409,115.44546,114.72,0.7254574584960949
6,7.7901,1011.6,91.983,3.5298,19.659,1060.0,549.87,114.71,10.644,3.4874,82.44,115.58598,114.71,0.8759832763671938
7,7.7139,1012.7,91.348,3.5088,19.673,1059.8,549.92,114.71,10.656,3.6043,83.01,115.42438,114.71,0.7143774414062563
8,7.7975,1013.8,90.196,3.5141,19.634,1060.1,550.09,114.72,10.644,3.3943,82.284,115.439896,114.72,0.7198956298828136
9,8.082,1015.0,88.597,4.0612,23.406,1083.0,550.21,131.7,11.679,1.9081,82.782,132.73756,131.7,1.0375640869140739
10,8.3047,1016.0,86.343,4.087,23.747,1085.3,550.2,133.67,11.703,1.7118,81.995,133.9766,133.67,0.3065930175781375
11,8.4684,1016.1,86.491,4.0513,23.734,1085.1,550.14,134.24,11.775,1.4672,80.638,134.11539,134.24,-0.1246130371093841
12,8.8856,1016.2,82.974,4.0503,23.869,1085.9,550.17,134.69,11.864,1.7113,80.533,134.42284,134.69,-0.2671636962890602
13,9.3714,1016.6,79.98,4.0427,23.916,1085.9,550.09,134.68,11.86,1.6637,80.538,134.38571,134.68,-0.2942883300781318
14,9.7962,1017.1,78.061,4.0613,23.962,1085.9,549.97,134.68,11.855,1.4061,80.463,134.38678,134.68,-0.2932202148437568
15,9.6996,1017.9,76.382,4.0719,23.945,1085.9,549.84,134.69,11.85,1.4072,80.522,134.43204,134.69,-0.2579626464843727
16,9.3111,1018.8,75.559,4.0578,23.89,1085.9,549.72,134.69,11.845,1.5193,80.648,134.54169,134.69,-0.14831298828124773
17,8.6702,1019.8,77.476,4.0727,23.824,1085.9,549.6,134.69,11.84,1.4201,80.374,134.68007,134.69,-0.009931030273435226
18,8.1375,1020.6,79.741,4.0432,23.832,1085.4,549.99,134.68,11.835,1.6156,80.639,134.43684,134.68,-0.24315612792969432
19,7.0396,1021.2,83.102,4.011,23.655,1084.9,550.03,134.68,11.83,1.6929,81.223,134.26463,134.68,-0.4153668212890693
20,6.5345,1021.7,86.253,4.0678,23.801,1085.7,549.87,134.67,11.867,1.4975,84.556,134.16298,134.67,-0.507020874023425
21,6.4893,1022.2,86.19,4.1476,24.098,1087.6,549.66,133.78,12.014,1.343,86.11,134.68008,133.78,0.9000842285156239
22,6.4935,1022.4,84.82,4.1916,24.053,1088.1,550.03,134.11,11.908,1.3034,86.607,134.24135,134.11,0.13134826660154886
23,6.079,1022.8,85.053,3.521,19.259,1057.0,548.09,112.8,10.565,4.6458,105.15,113.66567,112.8,0.8656723022460966
24,5.4134,1023.8,84.432,3.8312,21.433,1070.4,548.85,122.33,11.186,4.1165,105.73,123.06626,122.33,0.736261291503908
25,5.4755,1024.0,82.83,4.1239,23.893,1087.2,549.96,133.94,11.968,1.4605,87.298,134.31708,133.94,0.3770776367187523
26,5.9958,1024.2,82.376,4.657,28.128,1099.7,543.28,150.33,12.935,0.78039,82.101,151.57524,150.33,1.245241088867175
27,6.7455,1024.3,80.521,4.0011,23.628,1085.0,550.06,134.24,11.913,1.4327,84.386,134.1743,134.24,-0.0656988525390716
28,7.9304,1023.7,76.271,4.657,28.433,1096.2,540.4,150.02,13.055,1.1222,75.403,150.10962,150.02,0.08961914062498977
29,9.3818,1022.8,56.158,4.634,28.221,1100.1,543.62,150.5,12.971,0.91143,83.766,151.05466,150.5,0.554656982421875
30,10.005,1022.4,55.943,4.5008,27.325,1100.3,547.24,147.72,12.813,0.99325,87.119,148.35387,147.72,0.6338665771484386
31,10.197,1022.3,57.235,4.6544,28.375,1099.8,543.21,150.6,12.873,0.9363,80.353,150.78355,150.6,0.18355407714844318
32,10.362,1022.4,58.863,4.096,24.085,1085.9,549.89,134.1,11.974,1.4624,82.31,134.35399,134.1,0.2539886474609432
33,10.071,1022.3,62.72,4.2234,25.219,1092.3,550.07,139.7,12.124,1.2694,81.801,138.52449,139.7,-1.1755096435546761
34,9.0326,1022.6,66.693,4.2483,25.607,1095.0,550.06,142.04,12.327,1.1787,84.197,141.69218,142.04,-0.34781555175780454
35,8.6055,1022.7,69.72,4.3266,26.342,1099.2,550.33,145.76,12.551,0.98319,86.667,145.11015,145.76,-0.6498468017578034
36,7.815,1022.4,73.101,4.4504,27.33,1100.1,546.95,149.63,12.771,0.86157,84.144,149.35336,149.63,-0.27663696289062045
37,6.3292,1022.4,79.928,3.9692,23.639,1083.5,549.39,134.62,11.845,1.6684,83.796,134.03694,134.62,-0.583058471679692
38,5.2115,1022.4,85.43,4.0247,23.447,1083.4,550.05,134.37,11.783,1.7005,84.643,133.60458,134.37,-0.7654162597656295
39,4.9731,1022.0,85.73,4.0163,23.363,1082.7,550.0,133.75,11.789,2.3359,83.76,133.33939,133.75,-0.410614013671875
